name,muni type,agency,total or undetermined (including sgt/chief),source,full time,part time,source,budget,budget year,muni budget,muni budget year,articles about consolidation
aspinwall,borough,Aspinwall P.D.,11,p1,6,5,,"$582,551.00",2017,"$2,374,000.00",2017,https://triblive.com/local/foxchapel/13100773-74/aspinwall-police-study-suggests-shared-services
avalon,borough,Avalon P.D.,9,p1,,,,"$1,063,824.00",2016,"$3,376,136.00",2016,
baldwin,borough,Baldwin Borough P.D.,30,p1,,,,"$3,845,651.00",2018,"$12,399,920.00",2018,
baldwin,township,Baldwin Township P.D.,6,p1,,,,"$754,029.00",2018,"$1,766,931.00",2018,
bell acres,borough,Bell Acres P.D.,9,counted from website,,,,,,,,
bellevue,borough,Bellevue P.D.,16,counted from website,10,3,website,,,,,
bethel park,municipality,Bethel Park P.D.,38,p1,,,,"$6,095,503.00",2018,"$48,769,835.00",2018,
blawnox,borough,Blawnox P.D.,no data,,,,,,,,,http://www.post-gazette.com/local/north/2018/05/03/Blawnox-O-Hara-show-interested-in-regional-police-department/stories/201804270115
brackenridge,borough,Brackenridge P.D.,5,p1,,,,,,,,
braddock hills,borough,Braddock Hills P.D.,21,p1,,,,,,,,
braddock,borough,Braddock P.D.,23,p1,,,,,,,,
brentwood,borough,Brentwood P.D.,12,counted from website,,,,,,,,
bridgeville,borough,Bridgeville P.D.,9,p1,,,,"$932,875.00",,"$3,032,737.00",,
carnegie,borough,Carnegie P.D.,13,article,,,,,,,,
pennsbury village,borough,Carnegie P.D.,13,,,,,,,,,
castle shannon,borough,Castle Shannon P.D.,15,counted from website,,,,,,,,
cheswick,borough,Cheswick P.D.,9,p1,1,8,,"$330,000.00",,"$1,600,000.00",,
churchill,borough,Churchill P.D.,9,p1,,,,,,,,
clairton,city,Clairton P.D.,30,p1,,,,,,,,
collier,township,Collier P.D.,13,p1,,,,,,,,
coraopolis,borough,Coraopolis P.D.,8,p1,,,,,,,,
crafton,borough,Crafton P.D.,9,p1,,,,"$1,319,600.00",,"$7,257,500.00",,
thornburg,borough,Crafton P.D.,9,,,,,,,,,
crescent,township,Crescent P.D.,10,counted from website,1,7,counted from website,,,,,
dormont,borough,Dormont P.D.,17,counted from website,,,,,,,,
dravosburg,borough,Dravosburg P.D.,15,p1,,,,,,,,
duquesne,city,Duquesne P.D.,18,p1,,,,,,,,
east deer,township,East Deer P.D.,8,counted from website,,,,,,,,
east mckeesport,borough,East McKeesport P.D.,10,counted from website,3,7,website,,,,,
wall,borough,East McKeesport P.D.,10,,,,,,,,,
east pittsburgh,borough,East Pittsburgh P.D.,9,counted from website,,,,,,,,
edgewood,borough,Edgewood P.D.,19,p1,6,6,,"$1,260,313.00",,"$3,373,421.00",,
edgeworth,borough,Edgeworth P.D.,10,website,3,6,website,,,,,
elizabeth,borough,Elizabeth Borough P.D.,8,p1,,,,"$306,700.00",,"$750,500.00",,
west elizabeth,borough,Elizabeth Borough P.D.,8,p1,,,,,,,,
elizabeth,township,Elizabeth Township P.D.,11,website,11,,,,,,,
etna,borough,Etna P.D.,7,website,6,2,website,,,,,
fawn,township,Fawn Township P.D.,5,p1,,,,,,,,
findlay,township,Findlay Township P.D.,19,counted from 2016 annual report,,,,"$2,983,630.00",2018,"$10,468,361.00",2018,
chalfant,borough,Forest Hills P.D.,no data,,,,,,,,,
forest hills,borough,Forest Hills P.D.,no data,,,,,,,,,
forward,township,Forward Township P.D.,8,,4,3,article,,,,,https://triblive.com/x/dailynewsmckeesport/s_745830.html
fox chapel,borough,Fox Chapel P.D.,11,p1,,,,"$1,622,900.00",2018,"$8,255,500.00",2018,
franklin park,borough,Franklin Park P.D.,12,count website,,,,,,,,
frazer,township,Frazer Township P.D.,5,,2,3,article,,,,,https://triblive.com/local/valleynewsdispatch/12711507-74/frazer-officials-have-unusual-explanation-for-high-police-turnover
glassport,borough,Glassport P.D.,3,p1,,,,,,,,
green tree,borough,Greentree P.D.,11,p1,,,,"$1,900,065.00",2018,"$9,170,204.00",2018,
hampton,township,Hampton P.D.,18,p1,,,,,,,,
harmar,township,Harmar Township P.D.,12,website,3,5,website,,,,,
harrison,township,Harrison Township P.D.,13,website,,,,,,,,
heidelberg,borough,Heidelberg Borough P.D.,10,p1,,,,,,,,
heidelberg,township,Heidelberg Township P.D.,2,p1,,,,,,,,
homestead,borough,Homestead P.D.,15,p1,,,,,,,,
indiana,township,Indiana Township P.D.,19,p1,,,,,,,,
ingram,borough,Ingram P.D.,6,p1,,,,,,,,
jefferson hills,borough,Jefferson Hills P.D.,16,p1,,,,"$3,046,234.00",2018,"$9,879,533.00",2018,
kennedy,township,Kennedy Township P.D.,12,website,10,2,website,,,,,
leet,township,Leet Township P.D.,5,website,,,,,,,,
leetsdale,borough,Leetsdale P.D,9,p1,,,,,,,,
liberty,borough,Liberty P.D.,6,p1,,,,,,,,
lincoln,borough,Lincoln P.D.,10,p1,,,,,,,,
mccandless,township,McCandless P.D.,27,website,,,,,,,,
mcdonald,borough,McDonald P.D.,12,p1,,,,,,,,
mckees rocks,borough,McKees Rocks P.D.,no data,,,,,,,,,http://planningpa.org/wp-content/uploads/4.-CHAR-WEST_COMPREHENSIVE-PLAN.pdf
mckeesport,city,McKeesport P.D.,76,p1,,,,,,,,
millvale,borough,Millvale P.D.,10,article,6,4,https://triblive.com/local/hamptonshaler/13187817-74/komoroski-appointed-millvale-police-chief,,,,,
monroeville,municipality,Monroeville P.D.,53,p1,,,,"$10,633,285.00",,"$33,519,914.00",,
moon,township,Moon Township P.D.,28,p1,,,,,,,,
mount lebanon,township,Mt. Lebanon P.D.,42,p1,,,,,,,,
mount oliver,borough,Mt. Oliver P.D.,14,p1,,,,,,,,
munhall,borough,Munhall P.D.,25,p1,,,,"$2,994,570.00",,"$9,050,500.00",2018,
glenfield,borough,State P.D.,NA,,,,,,,,,
haysville,borough,State P.D.,NA,,,,,,,,,
north braddock,borough,North Braddock P.D.,21,p1,,,,,,,,
north fayette,township,North Fayette P.D.,23,article,20,3,http://www.post-gazette.com/local/west/2013/01/31/North-Fayette-s-new-police-chief-has-26-years-on-force/stories/201301310305,,,,,
north versailles,township,North Versailles P.D.,27,p1,,,,,,,,
wilmerding,borough,North Versailles P.D.,27,,,,,,,,,
bradford woods,borough,Northern Regional P.D.,15,p1,,,,,,,,
marshall,township,Northern Regional P.D.,15,p1,,,,,,,,
pine,township,Northern Regional P.D.,15,p1,,,,,10633285,,,
richland,township,Northern Regional P.D.,15,p1,,,,,,,,
oakdale,borough,Oakdale P.D.,12,p1,,,,,,,,
oakmont,borough,Oakmont P.D.,14,p1,,,,,,,,
o'hara,township,O'Hara Township P.D.,no data,,,,,"$2,182,380.00",,"$17,081,929.00",,http://www.post-gazette.com/local/north/2018/05/03/Blawnox-O-Hara-show-interested-in-regional-police-department/stories/201804270115
aleppo,township,Ohio Township P.D.,34,,14,20,,,,,,https://www.publicsource.org/no-money-no-police-force/
ben avon,borough,Ohio Township P.D.,34,,,,,,,,,
ben avon heights,borough,Ohio Township P.D.,34,,,,,,,,,
emsworth,borough,Ohio Township P.D.,34,,,,,,,,,
kilbuck,township,Ohio Township P.D.,34,,,,,,,,,
neville,township,Ohio Township P.D.,34,,,,,,,,,
ohio,township,Ohio Township P.D.,34,,,,,,,,,
sewickley hills,borough,Ohio Township P.D.,34,,,,,,,,,
penn hills,municipality,Penn Hills P.D.,56,p1,,,,,,,,
pitcairn,borough,Pitcairn P.D.,15,p1,,,,,,,,
pittsburgh,city,Pittsburgh P.D.,1100,p1,,,,,,,,
pleasant hills,borough,Pleasant Hills P.D.,16,article,16,,https://triblive.com/neighborhoods/yourmckeesport/yourmckeesportmore/5368785-74/finnerty-greene-police,,,,,
plum,borough,Plum P.D.,26,website,,,,,,,,
port vue,borough,Port Vue P.D.,14,p1,,,,,,,,
rankin,borough,Rankin P.D.,14,p1,,,,,,,,
reserve,township,Reserve P.D.,no data,,,,,,,,,
robinson,township,Robinson Township P.D.,30,website,30,,,,,,,
ross,township,Ross Township P.D.,43,website,43,,,,,,,
rosslyn farms,borough,Rosslyn Farms P.D.,3,p1,,,,,,,,
scott,township,Scott Township P.D.,9,p1,,,,"$3,696,618.00",,"$11,425,219.00",,
sewickley heights,borough,Sewickley Heights P.D.,7,p1,,,,,,,,
glen osborne,borough,Sewickley P.D.,20,,,,,,,,,
sewickley,borough,Sewickley P.D.,20,website,9,11,website,,,,,
shaler,township,Shaler Township P.D.,27,p1,,,,,,,,
sharpsburg,borough,Sharpsburg P.D.,12,p1,5,5,consol article,,,,,
south fayette,township,South Fayette P.D.,16,p1,,,,,,,,
south park,township,South Park P.D.,17,p1,,,,,,,,
springdale,borough,Springdale Borough P.D.,10,p1,,,,,,,,
springdale,township,Springdale Township P.D.,30,p1,,,,,,,,
stowe,township,Stowe Township P.D.,26,p1,,,,,,,,
swissvale,borough,Swissvale P.D.,no data,,,,,,,,,
tarentum,borough,Tarentum P.D.,10,website,,,,,,,,
trafford,borough,Trafford P.D.,9,p1,,,,,,,,
turtle creek,borough,Turtle Creek P.D.,no data,,,,,,,,,
upper st. clair,municipality,Upper St. Clair P.D.,28,website,,,,,,,,
verona,borough,Verona P.D.,13,p1,,,,,,,,
versailles,borough,Versailles P.D.,8,,2,6,https://triblive.com/neighborhoods/yourmckeesport/yourmckeesportmore/4488414-74/chief-police-borough,,,,,
west deer,township,West Deer P.D.,16,p1,,,,,,,,
west homestead,borough,West Homestead P.D.,no data,,,,,,,,,
west mifflin,borough,West Mifflin P.D.,30,https://triblive.com/local/allegheny/13856740-74/west-mifflin-officials-are-looking-to-hire-new-police-officers,,,,"$5,065,773.00",,"$15,310,509.00",,
west view,borough,West View P.D.,12,p1,,,,,,,,
whitaker,borough,Whitaker P.D.,11,p1,,,,,,,,
south versailles,township,White Oak P.D.,12,p1,,,,,,,,
white oak,borough,White Oak P.D.,12,p1,,,,,,,,
whitehall,borough,Whitehall P.D.,18,p1,,,,,,,,
wilkins,township,Wilkins Township P.D.,12,p1,,,,,,,,
wilkinsburg,borough,Wilkinsburg P.D.,46,p1,,,,,,,,